"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Enbrel","Etanercept","SYRINGE","103795","IMMUNEX","06/09/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103795s5594lbl.pdf#page=35"
"Enhertu","Fam-Trastuzumab Deruxtecan-Nxki","INJECTABLE;INJECTION","761139","DAIICHI SANKYO","08/11/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761139s022lbl.pdf#page=31"
"Enjaymo","Sutimlimab-Jome","INJECTABLE;INJECTION","761164","BIOVERATIV THERAPEUTICS INC","02/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761164s000lbl.pdf#page=13"
"Enspryng","Satralizumab-Mwge","INJECTABLE;SUBCUTANEOUS","761149","GENETECH, INC","09/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761149s005lbl.pdf#page=16"
"Entyvio","Vedolizumab","INJECTABLE;INTRAVENOUS","761133","TAKEDA PHARMACEUTICALS USA INC","09/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23"
"Entyvio","Vedolizumab","INJECTABLE;SUBCUTANEOUS","761133","TAKEDA PHARMACEUTICALS USA INC","09/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23"
"Entyvio","Vedolizumab","INJECTABLE;INJECTION","125476","TAKEDA PHARMS USA","08/17/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125476s038s039lbl.pdf#page=20"
"Entyvio Pen","Vedolizumab","INJECTABLE;SUBCUTANEOUS","761133","TAKEDA PHARMACEUTICALS USA INC","09/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23"
"Envarsus XR","Tacrolimus","TABLET, EXTENDED RELEASE;ORAL","206406","VELOXIS PHARMS INC","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206406s010lbl.pdf#page=29"
"Eovist","Gadoxetate Disodium","SOLUTION;INTRAVENOUS","022090","BAYER HLTHCARE","12/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022090s020lbledt.pdf#page=15"
"Epidiolex","Cannabidiol","SOLUTION;ORAL","210365","GW RES LTD","10/20/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210365s020lbl.pdf#page=31"
"Epkinly","Epcoritamab-Bysp","INJECTABLE;SUBCUTANEOUS","761324","GENMAB US","05/19/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761324s000lbl.pdf#page=26"
"Epogen","Epoetin Alfa","VIAL; SINGLE-USE","103234","AMGEN","07/25/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103234s5363s5366lbl.pdf#page=27"
"Epzicom","Abacavir Sulfate; LAmivudine","TABLET;ORAL","021652","VIIV HLTHCARE","12/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021652s029lbl.pdf#page=28"
"Equetro","Carbamazepine","CAPSULE, EXTENDED RELEASE;ORAL","021710","VALIDUS PHARMS","10/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021710s018lbl.pdf#page=27"
"Erelzi","Etanercept-Szzs","INJECTABLE; INJECTION","761042","SANDOZ","11/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761042s018lbl.pdf#page=41"
"Erivedge","Vismodegib","CAPSULE;ORAL","203388","GENENTECH","03/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203388s017lbl.pdf#page=15"
"Esomeprazole Strontium","Esomeprazole Strontium","CAPSULE, DELAYED RELEASE;ORAL","202342","BELCHER","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202342s007lbl.pdf#page=29"
"Estazolam","Estazolam","TABLET;ORAL","074921","MAYNE PHARMA","02/05/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM359235.pdf"
"Eticovo","Etanercept-Ykro","INJECTABLE;INJECTION","761066","SAMSUNG BIOEPIS CO LTD","04/25/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761066s000lbl.pdf#page=31"
"Evekeo ODT","Amphetamine Sulfate","TABLET, ORALLY DISINTEGRATING;ORAL","209905","ARBOR PHARMS LLC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209905s004lbl.pdf#page=16"
"Evenity","Romosozumab-Aqqg","INJECTABLE;INJECTION","761062","AMGEN INC","12/20/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761062s000lbl.pdf#page=19"
"Evista","Raloxifene Hydrochloride","TABLET; ORAL","022042","LILLY","09/13/2007","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Evista","Raloxifene Hydrochloride","TABLET;ORAL","020815","LILLY","06/27/2018","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Exalgo","Hydromorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021217","SPECGX LLC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf#page=31"
"Exjade","Deferasirox","TABLET, FOR SUSPENSION;ORAL","021882","NOVARTIS","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021882s033lbl.pdf#page=28"
"Extavia","Interferon Beta-1b","INJECTABLE; SUBCUTANEOUS","125290","NOVARTIS PHARMS","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125290s074lbl.pdf#page=16"
"Fabhalta","Iptacopan","CAPSULE;ORAL","218276","NOVARTIS PHARMACEUTICALS","12/05/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218276s000lbl.pdf#page=16"
"Factive","Gemifloxacin Mesylate","TABLET;ORAL","021158","LG CHEM LTD","07/26/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021158s026lbl.pdf#page=30"
"Farxiga","Dapagliflozin","TABLET;ORAL","202293","ASTRAZENECA AB","09/12/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202293s030lbl.pdf#page=53"
"Farydak","Panobinostat LActate","CAPSULE;ORAL","205353","SECURA","06/06/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM436377.pdf"
"Felbatol","Felbamate","TABLET;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Felbatol","Felbamate","SUSPENSION;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Feldene","Piroxicam","CAPSULE;ORAL","018147","PFIZER","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018147s050lbl.pdf#page=21"
"Fensolvi Kit","Leuprolide Acetate","POWDER;SUBCUTANEOUS","213150","TOLMAR","04/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213150s002lbl.pdf#page=15"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","077312","PAR PHARM","09/07/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/077312MedGuide.pdf"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","078907","SPECGX LLC","12/03/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/078907MedGuide.pdf"
"Fentora","Fentanyl Citrate","TABLET;BUCCAL, SUBLINGUAL","021947","CEPHALON","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021947s043lbl.pdf#page=43"
"Ferriprox","Deferiprone","TABLET;ORAL","021825","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021825s010lbl.pdf#page=17"
"Ferriprox","Deferiprone","TABLET;ORAL","212269","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212269s003lbl.pdf#page=17"
"Ferriprox","Deferiprone","SOLUTION;ORAL","208030","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208030s007lbl.pdf#page=13"
"Fetzima","Levomilnacipran Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","204168","ALLERGAN","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204168s011lbl.pdf#page=29"
"Filspari","Sparsentan","TABLET;ORAL","216403","TRAVERE THERAPEUTICS","02/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216403s000lbl.pdf#page=22"
"Fintepla","Fenfluramine Hydrochloride","SOLUTION;ORAL","212102","ZOGENIX INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212102s013lbl.pdf#page=30"
"Fioricet W/ Codeine","Acetaminophen; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","020232","ACTAVIS LABS UT INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020232s047lbl.pdf#page=44"
"Fiorinal W/Codeine","Aspirin; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","019429","ALLERGAN","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019429s043lbl.pdf#page=39"
"Firdapse","Amifampridine Phosphate","TABLET;ORAL","208078","CATALYST PHARMS","05/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208078s009lbl.pdf#page=12"
"Flector","Diclofenac Epolamine","SYSTEM;TOPICAL","021234","INST BIOCHEM","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021234s019lbl.pdf#page=24"
"Flowtuss","Guaifenesin; Hydrocodone Bitartrate","SOLUTION;ORAL","022424","BKK PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022424s003lbl.pdf#page=23"
"Floxin","Ofloxacin","TABLET;ORAL","019735","JANSSEN PHARMS","02/25/2011","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019735s061MedG.pdf"
"Fluoxetine Hydrochloride","Fluoxetine Hydrochloride","TABLET;ORAL","202133","ALMATICA","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202133s009s016lbl.pdf#page=36"
"Focalin","Dexmethylphenidate Hydrochloride","TABLET;ORAL","021278","NOVARTIS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021278s028s031lbl.pdf#page=17"
"Focalin XR","Dexmethylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021802","NOVARTIS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021802s038s041lbl.pdf#page=20"
"Foradil","Formoterol Fumarate","POWDER;INHALATION","020831","NOVARTIS","03/02/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088602.pdf"
"Foradil Certihaler","Formoterol Fumarate","POWDER;INHALATION","021592","NOVARTIS","06/02/2010","https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021592s003lbl.pdf#page=35"
"Forfivo XL","Bupropion Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022497","ALMATICA","12/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022497s008lbl.pdf#page=33"
"Forteo","Teriparatide","SOLUTION;SUBCUTANEOUS","021318","LILLY","09/07/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021318Orig1s054lbl.pdf#page=16"
"Fortesta","Testosterone","GEL, METERED;TRANSDERMAL","021463","ENDO PHARMS","06/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021463s025lbl.pdf#page=21"
"Fosamax","Alendronate Sodium","TABLET;ORAL","020560","MERCK AND CO INC","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020560s068,021575s024lbl.pdf#page=24"
"Fosamax","Alendronate Sodium","SOLUTION;ORAL","021575","MERCK","11/30/2015","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020560s068,021575s024lbl.pdf#page=24"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","ORGANON","08/16/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM241521.pdf"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","ORGANON","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021762s022lbl.pdf#page=23"
"Fosrenol","Lanthanum Carbonate","TABLET, CHEWABLE;ORAL","021468","TAKEDA PHARMS USA","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021468s024,204734s006lbl.pdf#page=12"
"Fosrenol","Lanthanum Carbonate","POWDER;ORAL","204734","TAKEDA PHARMS USA","12/12/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021468s024,204734s006lbl.pdf#page=12"
"Fycompa","Perampanel","TABLET;ORAL","202834","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202834s016,208277s004lbl.pdf#page=24"
"Fycompa","Perampanel","SUSPENSION;ORAL","208277","EISAI INC","02/23/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208277s005lbl.pdf#page=24"
"Gabitril","Tiagabine Hydrochloride","TABLET;ORAL","020646","CEPHALON","08/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229203.pdf"
"Gadavist","Gadobutrol","SOLUTION;INTRAVENOUS","201277","BAYER HLTHCARE","04/27/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/201277s020lbl.pdf#page=42"
"Gattex Kit","Teduglutide Recombinant","POWDER;SUBCUTANEOUS","203441","NPS PHARMS INC","02/11/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/203441s018lbl.pdf#page=17"
"Gilenya","Fingolimod Hydrochloride","CAPSULE;ORAL","022527","NOVARTIS","08/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022527s038lbl.pdf#page=27"
"Gimoti","Metoclopramide Hydrochloride","SPRAY, METERED;NASAL","209388","EVOKE PHARMA INC","01/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/209388s001lbl.pdf#page=17"
"Gloperba","Colchicine","SOLUTION;ORAL","210942","ROMEG","02/11/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210942Orig1s001lbl.pdf#page=12"
"Glyxambi","Empagliflozin; Linagliptin","TABLET;ORAL","206073","BOEHRINGER INGELHEIM","10/30/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206073s036lbl.pdf#page=34"
"Golytely","Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Sulfate Anhydrous","FOR SOLUTION;ORAL","019011","BRAINTREE","05/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019011s033lbl.pdf#page=9"
"Gralise","Gabapentin","TABLET;ORAL","022544","ALMATICA","04/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022544Orig1s029lbl.pdf#page=21"
"H.P. Acthar Gel","Repository Corticotropin","INJECTABLE; INJECTION","022432","QUESTCOR PHARMA","10/15/2010","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM231714.pdf"
"Hadlima","Adalimumab-Bwwd","INJECTABLE;INJECTION","761059","SAMSUNG BIOEPIS CO LTD","07/11/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761059s008lbl.pdf#page=46"
"Halcion","Triazolam","TABLET;ORAL","017892","PFIZER","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017892s057lbl.pdf#page=20"
"Halflytely","Bisacodyl; Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride","FOR SOLUTION, TABLET, DELAYED RELEASE;ORAL","021551","BRAINTREE","06/03/2013","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM220644.pdf"
"Hemangeol","Propranolol Hydrochloride","SOLUTION;ORAL","205410","PIERRE FABRE DERMA","06/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/205410s006lbl.pdf#page=11"
"Hemlibra","Emicizumab","INJECTABLE;INJECTION","761083","GENENTECH INC","06/06/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761083s015lbl.pdf#page=22"
"Horizant","Gabapentin Enacarbil","TABLET, EXTENDED RELEASE;ORAL","022399","ARBOR PHARMS LLC","04/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022399s010lbl.pdf#page=27"
"Hulio","Adalimumab-Fkjp","INJECTABLE;INJECTION","761154","MYLAN PHARMS INC","08/25/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761154s005lbl.pdf#page=57"
"Humira","Adalimumab","SYRINGE","125057","ABBVIE INC","11/03/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125057s423lbl.pdf#page=57"
"Humira","Adalimumab","VIAL","125057","ABBVIE INC","02/24/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125057s417lbl.pdf#page=60"
"Hycodan","Homatropine METhylbromide; Hydrocodone Bitartrate","TABLET;ORAL","005213","GENUS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005213s046lbl.pdf#page=27"
"Hycodan","Homatropine METhylbromide; Hydrocodone Bitartrate","SYRUP;ORAL","005213","GENUS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005213s046lbl.pdf#page=27"
"Hycofenix","Hydrocodone Bitartrate;Pseudoephedrine Hydrochloride;Guaifenesin","SOLUTION;ORAL","022279","BKK PHARMACEUTICALS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022279s003lbl.pdf#page=26"
"Hydromorphone Hydrochloride","Hydromorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","204278","PADAGIS US","03/04/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/204278Orig1s000MG.pdf"
"Hyrimoz","Adalimumab-Adaz","INJECTABLE;INJECTION","761071","SANDOZ INC","09/08/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761071s016lbl.pdf#page=60"
"Hysingla ER","Hydrocodone Bitartrate","TABLET, EXTENDED RELEASE;ORAL","206627","PURDUE PHARMA LP","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206627s015lbl.pdf#page=40"
"Ibsrela","Tenapanor Hydrochloride","TABLET;ORAL","211801","ARDELYX INC","04/05/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/211801s004lbl.pdf#page=14"
"Iclusig","Ponatinib Hydrochloride","TABLET;ORAL","203469","TAKEDA PHARMS USA","02/15/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/203469s035lbl.pdf#page=34"
"Idacio","Adalimumab-Aacf","INJECTABLE;SUBCUTANEOUS","761255","FRESENIUS KABI USA","11/16/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761255s004lbl.pdf#page=48"
"Idhifa","Enasidenib Mesylate","TABLET;ORAL","209606","CELGENE CORP","12/21/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209606s006lbl.pdf#page=18"
"Ilaris","Canakinumab","INJECTABLE; SUBCUTANEOUS","125319","NOVARTIS PHARMS","08/25/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125319s107lbl.pdf#page=24"
"Ilumya","Tildrakizumab-Asmn","INJECTABLE;INJECTION","761067","SUN PHARMA GLOBAL","03/20/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761067s000lbl.pdf#page=10"
"Imfinzi","Durvalumab","INJECTABLE;INJECTION","761069","ASTRAZENECA UK LTD","06/16/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761069s042lbl.pdf#page=51"
"Imipramine Hydrochloride","Imipramine Hydrochloride","TABLET;ORAL","087846","SPECGX LLC","06/29/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/087846s028,087844s027,087845s027lbl.pdf#page=3"
"Imjudo","Tremelimumab-Actl","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","761270","ASTRAZENECA","11/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761270s000lbl.pdf#page=32"
"Imjudo","Tremelimumab-Actl","INJECTABLE;INTRAVENOUS","761289","ASTRAZENECA","06/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761289s002lbl.pdf#page=31"
"Incivek","Telaprevir","TABLET;ORAL","201917","VERTEX PHARMS","03/25/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM256383.pdf"
"Indocin","Indomethacin","CAPSULE;ORAL","016059","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016059s101lbl.pdf#page=24"
"Indocin","Indomethacin","SUPPOSITORY;RECTAL","017814","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017814s044lbl.pdf#page=24"
"Indocin","Indomethacin","SUSPENSION;ORAL","018332","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018332s042lbl.pdf#page=24"
"Indocin SR","Indomethacin","CAPSULE, EXTENDED RELEASE;ORAL","018185","EGALET","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018185s058lbl.pdf#page=25"
"Indomethacin","Indomethacin","CAPSULE;ORAL","018829","CHARTWELL MOLECULES","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018829s023lbl.pdf#page=18"
"Indomethacin","Indomethacin","CAPSULE;ORAL","018851","HERITAGE","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018851s028lbl.pdf#page=23"
"Indomethacin","Indomethacin","CAPSULE;ORAL","018858","RISING","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018858s047lbl.pdf#page=26"
"Inflectra","Infliximab-Dyyb","INJECTABLE;INJECTION","125544","CELLTRION INC","06/17/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125544s018lbl.pdf#page=61"
"Inpefa","Sotagliflozin","TABLET; ORAL","216203","LEXICON PHARMACEUTICALS","05/26/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216203s000lbl.pdf#page=24"
"Inrebic","Fedratinib Hydrochloride","CAPSULE;ORAL","212327","IMPACT","05/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212327s005lbl.pdf#page=21"
"Intermezzo","Zolpidem Tartrate","TABLET;SUBLINGUAL","022328","PURDUE PHARMA","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022328s008lbl.pdf#page=20"
"Intron A","Interferon Alfa-2b","VIAL","103132","SCHERING","11/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103132s5196lbl.pdf#page=40"
"Invirase","Saquinavir Mesylate","TABLET;ORAL","021785","HOFFMANN-LA ROCHE","09/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021785s025lbl.pdf#page=25"
"Invirase","Saquinavir Mesylate","CAPSULE;ORAL","020628","HOFFMANN LA ROCHE","03/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020628s047,021785s023lbl.pdf#page=24"
"Invokamet","Canagliflozin; METformin Hydrochloride","TABLET;ORAL","204353","JANSSEN PHARMS","07/05/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204353s042,205879s019lbl.pdf#page=56"
"Invokamet XR","Canagliflozin; METformin Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","205879","JANSSEN PHARMS","07/05/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204353s042,205879s019lbl.pdf#page=56"
"Invokana","Canagliflozin","TABLET;ORAL","204042","JANSSEN PHARMS","07/05/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204042s040lbl.pdf#page=47"
"Ixifi","Infliximab-Qbtx","INJECTABLE;INJECTION","761072","PFIZER INC","12/26/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761072s009lbl.pdf#page=46"
"Jadenu","Deferasirox","TABLET;ORAL","206910","NOVARTIS PHARMS CORP","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/206910s015lbl.pdf#page=31"
"Jadenu Sprinkle","Deferasirox","GRANULE;ORAL","207968","NOVARTIS","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207968s009lbl.pdf#page=31"
"Janumet","Metformin Hydrochloride; Sitagliptin Phosphate","TABLET;ORAL","022044","MERCK SHARP DOHME","06/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022044s052lbl.pdf#page=33"
"Janumet XR","Metformin Hydrochloride; Sitagliptin Phosphate","TABLET, EXTENDED RELEASE;ORAL","202270","MERCK SHARP DOHME","06/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202270s026lbl.pdf#page=34"
"Januvia","Sitagliptin Phosphate","TABLET;ORAL","021995","MERCK SHARP DOHME","06/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021995s050lbl.pdf#page=27"
"Jardiance","Empagliflozin","TABLET;ORAL","204629","BOEHRINGER INGELHEIM","09/21/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204629s040lbl.pdf#page=47"
"Jemperli","Dostarlimab-Gxly","INJECTABLE;INJECTION","761223","GLAXOSMITHKLINE LLC","08/17/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761223s000lbl.pdf#page=25"
"Jemperli","Dostarlimab-Gxly","INJECTABLE;INJECTION","761174","GLAXOSMITHKLINE","07/31/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761174s006lbl.pdf#page=34"
"Jentadueto","Linagliptin; METformin Hydrochloride","TABLET;ORAL","201281","BOEHRINGER INGELHEIM","06/20/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/201281s035lbl.pdf#page=21"
"Jentadueto XR","Linagliptin; METformin Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","208026","BOEHRINGER INGELHEIM","06/20/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208026s024lbl.pdf#page=22"
"Jesduvroq","Daprodustat","TABLET;ORAL","216951","GLAXOSMITHKLINE","02/01/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216951s000lbl.pdf#page=23"
"Jeuveau","Prabotulinumtoxina-Xvfs","INJECTABLE;INJECTION","761085","EVOLUS INC","07/12/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761085s000lbl.pdf#page=9"
"Jornay PM","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","209311","IRONSHORE PHARMS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209311s010lbl.pdf#page=20"
"Juvisync","Simvastatin; Sitagliptin Phosphate","TABLET;ORAL","202343","MERCK SHARP DOHME","02/24/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM275945.pdf"
"Juxtapid","Lomitapide Mesylate","CAPSULE;ORAL","203858","AMRYT","05/27/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/203858s017lbl.pdf#page=32"
"Jynarque","Tolvaptan","TABLET;ORAL","204441","OTSUKA","11/25/2020","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204441lbl.pdf#page=18"
"Kadian","Morphine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","020616","ALLERGAN","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020616s065lbl.pdf#page=36"
